anime_id,title,title_english,title_japanese,image_url,episodes,release_data,end_data,duration,studio,tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inu x Boku SS,Inu X Boku Secret Service,妖狐×僕SS,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,12,2012-01-13,2012-03-30,24,David Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seto no Hanayome,My Bride is a Mermaid,瀬戸の花嫁,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,26,2007-04-02,2007-10-01,24,Gonzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shugo Chara!! Doki,Shugo Chara!! Doki,しゅごキャラ！！どきっ,https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,51,2008-10-04,2009-09-25,24,Satelight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Princess Tutu,Princess Tutu,プリンセスチュチュ,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,38,2002-08-16,2003-05-23,16,Hal Film Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bakuman. 3rd Season,Bakuman.,バクマン。,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,25,2012-10-06,2013-03-30,24,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yume-iro Pâtissière,,夢色パティシエール,https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,50,2009-10-04,2010-09-26,24,"Studio Pierrot, Studio Hibari",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ultra Maniac,Ultramaniac - Magical Girl,ウルトラマニアック,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,26,2003-05-20,2003-11-11,24,Production Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shakugan no Shana II (Second),Shakugan no Shana: Season II,灼眼のシャナII –Second–,https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,24,2007-10-05,2008-03-28,24,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nodame Cantabile: Paris-hen,,のだめカンタービレ 巴里編,https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,11,2008-10-10,2008-12-19,23,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,26,2006-04-05,2006-09-27,23,Bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junjou Romantica 2,Junjo Romantica 2,純情ロマンチカ2(に),https://myanimelist.cdn-dena.com/images/anime/6/38417.jpg,12,2008-10-12,2008-12-28,24,Studio Deen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaichou wa Maid-sama!,Maid Sama!,会長はメイド様!,https://myanimelist.cdn-dena.com/images/anime/6/25254.jpg,26,2010-04-02,2010-09-24,24,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sekaiichi Hatsukoi 2,Sekai Ichi Hatsukoi - World&#039,s Greatest First Love 2,"Sekai-ichi Hatsukoi 2, Sekai&#039;ichi Hatsukoi 2",Manga,,,,Funimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tonari no Kaibutsu-kun,My Little Monster,となりの怪物くん,https://myanimelist.cdn-dena.com/images/anime/4/39779.jpg,13,2012-10-02,2012-12-25,24,Brain&#039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bleach,Bleach,BLEACH - ブリーチ -,https://myanimelist.cdn-dena.com/images/anime/3/40451.jpg,366,2004-10-05,2012-03-27,24,Studio Pierrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chobits,Chobits,ちょびっツ,https://myanimelist.cdn-dena.com/images/anime/4/24648.jpg,26,2002-04-03,2002-09-25,24,Madhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kimi ni Todoke,Kimi ni Todoke: From Me to You,君に届け,https://myanimelist.cdn-dena.com/images/anime/7/17890.jpg,25,2009-10-07,2010-03-31,22,Production I.G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naruto: Shippuuden,Naruto: Shippuden,ナルト- 疾風伝,https://myanimelist.cdn-dena.com/images/anime/5/17407.jpg,500,2007-02-15,2017-03-23,23,Studio Pierrot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ranma ½,Ranma ½,らんま1/2,https://myanimelist.cdn-dena.com/images/anime/13/6441.jpg,161,1989-04-15,1992-09-25,24,Studio Deen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toradora!,Toradora!,とらドラ！,https://myanimelist.cdn-dena.com/images/anime/13/22128.jpg,25,2008-10-02,2009-03-26,24,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bakuman. 2nd Season,Bakuman.,バクマン。2ndシーズン,https://myanimelist.cdn-dena.com/images/anime/3/34923.jpg,25,2011-10-01,2012-03-24,24,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gakuen Alice,Gakuen Alice,学園アリス,https://myanimelist.cdn-dena.com/images/anime/4/18118.jpg,26,2004-10-30,2005-05-14,25,Group TAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skip Beat!,Skip Beat!,スキップ・ビート！,https://myanimelist.cdn-dena.com/images/anime/11/84022.jpg,25,2008-10-06,2009-03-30,24,Hal Film Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chihayafuru 2,,ちはやふる 2,https://myanimelist.cdn-dena.com/images/anime/6/47435.jpg,25,2013-01-12,2013-06-29,22,Madhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shounen Onmyouji,Shonen Onmyoji,少年陰陽師,https://myanimelist.cdn-dena.com/images/anime/11/23852.jpg,26,2006-10-03,2007-03-13,23,Studio Deen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chihayafuru,Chihayafuru,ちはやふる,https://myanimelist.cdn-dena.com/images/anime/3/35749.jpg,25,2011-10-05,2012-03-28,22,Madhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Itazura na Kiss,ItaKiss,イタズラなKiss,https://myanimelist.cdn-dena.com/images/anime/10/19933.jpg,25,2008-04-05,2008-09-25,24,TMS Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
